age,education,wage
49,4. College Grad,175.9329977
39,4. College Grad,175.4435493
47,4. College Grad,174.402876
55,5. Advanced Degree,173.8794933
24,4. College Grad,172.2172655
40,2. HS Grad,171.7651326
47,3. Some College,171.7651326
31,5. Advanced Degree,171.7651326
63,5. Advanced Degree,171.7651326
43,4. College Grad,171.7651326
59,5. Advanced Degree,171.7651326
55,4. College Grad,171.7651326
38,5. Advanced Degree,171.7651326
42,4. College Grad,170.6951277
44,5. Advanced Degree,170.6951277
62,5. Advanced Degree,170.4601659
54,4. College Grad,170.1568344
62,4. College Grad,169.8003423
44,3. Some College,169.528538
46,3. Some College,169.07354
34,4. College Grad,169.07354
37,2. HS Grad,169.07354
33,5. Advanced Degree,167.9811282
43,4. College Grad,167.7065756
40,3. Some College,166.8793833
31,4. College Grad,166.3249412
54,4. College Grad,166.3249412
46,2. HS Grad,166.3249412
55,5. Advanced Degree,166.3249412
45,3. Some College,166.3249412
40,5. Advanced Degree,166.3249412
38,5. Advanced Degree,166.3249412
46,5. Advanced Degree,166.3249412
42,4. College Grad,166.3249412
34,4. College Grad,166.3249412
49,2. HS Grad,166.3249412
40,4. College Grad,166.3249412
44,5. Advanced Degree,166.3249412
51,3. Some College,166.3249412
39,5. Advanced Degree,166.3249412
44,4. College Grad,166.3249412
49,3. Some College,165.2087738
38,4. College Grad,164.6469889
60,4. College Grad,164.6469889
45,5. Advanced Degree,163.515864
56,5. Advanced Degree,163.515864
47,5. Advanced Degree,163.515864
48,5. Advanced Degree,163.515864
48,4. College Grad,163.515864
44,5. Advanced Degree,163.515864
36,5. Advanced Degree,163.515864
39,4. College Grad,163.515864
36,4. College Grad,163.515864
54,5. Advanced Degree,163.515864
40,5. Advanced Degree,163.515864
43,5. Advanced Degree,163.515864
40,4. College Grad,163.515864
34,5. Advanced Degree,163.515864
38,4. College Grad,162.9464607
37,4. College Grad,161.9149514
47,4. College Grad,161.2224955
26,4. College Grad,160.6436382
40,4. College Grad,160.6424754
29,4. College Grad,160.6424754
51,2. HS Grad,160.6424754
39,5. Advanced Degree,160.6424754
48,3. Some College,160.6424754
47,5. Advanced Degree,160.6424754
44,4. College Grad,160.6424754
44,5. Advanced Degree,160.6424754
42,5. Advanced Degree,160.6424754
52,3. Some College,160.6424754
48,4. College Grad,160.6424754
55,4. College Grad,160.6424754
43,5. Advanced Degree,160.6424754
46,4. College Grad,160.6424754
43,5. Advanced Degree,160.6424754
38,4. College Grad,160.6424754
53,5. Advanced Degree,160.6424754
34,4. College Grad,160.6424754
47,4. College Grad,160.6424754
44,4. College Grad,160.6424754
38,5. Advanced Degree,160.6424754
42,4. College Grad,160.6424754
45,5. Advanced Degree,160.6424754
42,4. College Grad,160.6424754
47,5. Advanced Degree,160.6424754
49,5. Advanced Degree,160.6424754
47,4. College Grad,160.6424754
67,5. Advanced Degree,160.6424754
38,2. HS Grad,160.6424754
44,4. College Grad,160.6424754
45,5. Advanced Degree,160.6424754
40,5. Advanced Degree,160.6424754
61,3. Some College,160.6424754
35,4. College Grad,160.6354986
57,5. Advanced Degree,160.409702
59,2. HS Grad,160.409702
47,4. College Grad,159.4741767
34,5. Advanced Degree,159.0520271
42,2. HS Grad,158.2946214
41,5. Advanced Degree,158.2946214
54,2. HS Grad,158.1736623
35,5. Advanced Degree,157.7005277
41,4. College Grad,157.7005277
50,5. Advanced Degree,157.7005277
46,2. HS Grad,157.7005277
46,5. Advanced Degree,157.7005277
45,3. Some College,157.7005277
57,4. College Grad,157.1035043
43,4. College Grad,156.5035109
39,5. Advanced Degree,156.5035109
53,4. College Grad,155.9005061
45,4. College Grad,155.9005061
35,5. Advanced Degree,154.9902603
41,5. Advanced Degree,154.8683672
43,4. College Grad,154.685293
52,5. Advanced Degree,154.685293
38,4. College Grad,154.685293
43,4. College Grad,154.685293
40,3. Some College,154.685293
31,2. HS Grad,154.685293
40,4. College Grad,154.685293
35,4. College Grad,154.685293
45,5. Advanced Degree,154.685293
54,4. College Grad,154.685293
60,5. Advanced Degree,154.685293
49,4. College Grad,154.685293
49,4. College Grad,154.685293
58,4. College Grad,154.685293
43,4. College Grad,154.685293
45,2. HS Grad,154.685293
40,3. Some College,154.685293
44,3. Some College,154.685293
30,5. Advanced Degree,154.0729972
56,5. Advanced Degree,154.0729972
60,5. Advanced Degree,153.4575153
50,4. College Grad,153.4575153
51,5. Advanced Degree,153.4575153
43,4. College Grad,152.838801
47,5. Advanced Degree,152.838801
34,5. Advanced Degree,152.838801
49,4. College Grad,152.5282169
58,3. Some College,152.2168068
48,4. College Grad,152.2168068
48,1. < HS Grad,152.2168068
53,5. Advanced Degree,151.8050963
37,3. Some College,151.5914842
47,3. Some College,151.5914842
59,3. Some College,151.5914842
34,4. College Grad,151.5914842
67,3. Some College,151.5914842
49,5. Advanced Degree,151.5914842
33,5. Advanced Degree,151.5914842
51,4. College Grad,150.9627835
36,4. College Grad,150.6951821
46,5. Advanced Degree,150.3306535
47,3. Some College,150.0704769
45,4. College Grad,150.0132863
52,5. Advanced Degree,149.6950421
58,3. Some College,149.6950421
43,5. Advanced Degree,149.6950421
31,4. College Grad,149.0558956
52,3. Some College,149.0558956
41,5. Advanced Degree,149.0558956
42,5. Advanced Degree,148.4144482
28,4. College Grad,148.4131591
53,3. Some College,148.4131591
40,3. Some College,148.4131591
38,2. HS Grad,148.4131591
54,4. College Grad,148.4131591
39,4. College Grad,148.4131591
45,4. College Grad,148.4131591
37,4. College Grad,148.4131591
54,3. Some College,148.4131591
51,2. HS Grad,148.4131591
40,3. Some College,148.4131591
44,2. HS Grad,148.4131591
36,5. Advanced Degree,148.4131591
44,3. Some College,148.4131591
61,2. HS Grad,148.4131591
34,4. College Grad,148.4131591
74,5. Advanced Degree,148.4131591
42,3. Some College,148.4131591
38,5. Advanced Degree,148.4131591
48,5. Advanced Degree,148.4131591
48,5. Advanced Degree,148.4131591
47,3. Some College,148.4131591
49,4. College Grad,148.4131591
61,5. Advanced Degree,148.4131591
51,4. College Grad,148.4131591
39,2. HS Grad,148.4131591
60,4. College Grad,148.4131591
55,4. College Grad,148.4131591
34,5. Advanced Degree,148.4131591
62,3. Some College,148.4131591
47,5. Advanced Degree,148.4131591
31,5. Advanced Degree,148.4131591
45,2. HS Grad,148.4131591
59,2. HS Grad,148.4131591
45,3. Some College,148.4131591
38,4. College Grad,148.4131591
45,4. College Grad,148.4131591
52,2. HS Grad,148.4131591
39,4. College Grad,148.4131591
50,4. College Grad,148.4131591
24,1. < HS Grad,148.4131591
57,4. College Grad,148.4131591
45,5. Advanced Degree,148.4131591
61,5. Advanced Degree,148.4131591
57,2. HS Grad,148.4131591
40,5. Advanced Degree,148.4131591
41,2. HS Grad,148.4131591
36,4. College Grad,148.4131591
58,4. College Grad,148.4131591
38,5. Advanced Degree,148.4131591
35,4. College Grad,148.4131591
44,3. Some College,148.4131591
39,3. Some College,148.4131591
42,5. Advanced Degree,148.4131591
34,4. College Grad,148.4131591
37,4. College Grad,148.4131591
39,5. Advanced Degree,148.4131591
47,3. Some College,148.4131591
50,4. College Grad,148.4131591
58,3. Some College,148.4131591
41,3. Some College,148.4131591
45,2. HS Grad,148.4131591
58,5. Advanced Degree,148.4131591
46,5. Advanced Degree,148.4131591
69,5. Advanced Degree,148.4131591
43,5. Advanced Degree,148.4131591
54,5. Advanced Degree,148.4131591
49,4. College Grad,148.4131591
54,5. Advanced Degree,148.4131591
53,2. HS Grad,148.4131591
45,5. Advanced Degree,148.4131591
42,4. College Grad,148.4131591
32,5. Advanced Degree,148.4131591
54,3. Some College,148.4131591
36,4. College Grad,148.4131591
30,5. Advanced Degree,148.4131591
66,4. College Grad,148.4131591
51,5. Advanced Degree,148.4131591
56,5. Advanced Degree,148.4131591
32,4. College Grad,148.4131591
51,2. HS Grad,148.1550467
42,3. Some College,147.7667762
55,4. College Grad,147.1166892
51,4. College Grad,147.1166892
34,4. College Grad,147.1166892
60,4. College Grad,147.1166892
48,3. Some College,147.1166892
47,3. Some College,146.4628385
34,5. Advanced Degree,146.4628385
27,4. College Grad,145.8051634
40,3. Some College,145.8051634
40,4. College Grad,145.8051634
59,4. College Grad,145.8051634
39,3. Some College,145.1436012
43,1. < HS Grad,145.1436012
45,2. HS Grad,145.1436012
52,4. College Grad,145.1436012
52,3. Some College,145.1436012
58,3. Some College,145.1436012
36,3. Some College,145.1436012
33,5. Advanced Degree,145.1436012
46,5. Advanced Degree,145.1436012
61,4. College Grad,145.1436012
38,4. College Grad,145.1436012
42,3. Some College,145.1436012
47,5. Advanced Degree,145.1436012
49,4. College Grad,145.1436012
34,3. Some College,145.1436012
47,3. Some College,145.1436012
34,3. Some College,145.1436012
48,4. College Grad,145.1436012
39,5. Advanced Degree,145.1436012
33,4. College Grad,144.944365
28,4. College Grad,144.4794227
41,2. HS Grad,144.4780877
44,5. Advanced Degree,144.4780877
39,4. College Grad,144.4780877
35,2. HS Grad,144.4780877
46,3. Some College,144.4780877
47,4. College Grad,144.4780877
59,4. College Grad,144.2107612
50,4. College Grad,144.2047389
49,2. HS Grad,144.1706065
50,3. Some College,143.9273594
61,4. College Grad,143.8085568
50,5. Advanced Degree,143.8085568
46,2. HS Grad,143.6997101
47,4. College Grad,143.3253181
32,4. College Grad,143.1349408
50,2. HS Grad,143.1349408
45,4. College Grad,143.1349408
39,2. HS Grad,143.1349408
53,4. College Grad,143.1349408
44,5. Advanced Degree,143.1349408
48,5. Advanced Degree,143.1349408
49,5. Advanced Degree,143.1349408
55,4. College Grad,142.6344728
45,4. College Grad,142.4571699
56,4. College Grad,142.4571699
30,5. Advanced Degree,141.7758565
43,5. Advanced Degree,141.7751723
49,4. College Grad,141.7751723
56,4. College Grad,141.7751723
28,5. Advanced Degree,141.7751723
40,5. Advanced Degree,141.7751723
28,4. College Grad,141.7751723
49,4. College Grad,141.7751723
38,5. Advanced Degree,141.7751723
50,3. Some College,141.7751723
55,4. College Grad,141.7751723
50,5. Advanced Degree,141.7751723
44,4. College Grad,141.7751723
38,3. Some College,141.7751723
57,5. Advanced Degree,141.7751723
28,5. Advanced Degree,141.7751723
35,4. College Grad,141.7751723
54,2. HS Grad,141.7751723
42,5. Advanced Degree,141.7751723
61,2. HS Grad,141.7751723
43,4. College Grad,141.7751723
21,2. HS Grad,141.7751723
38,4. College Grad,141.7751723
30,4. College Grad,141.7751723
53,4. College Grad,141.7751723
47,5. Advanced Degree,141.7751723
59,5. Advanced Degree,141.7751723
40,2. HS Grad,141.7751723
44,3. Some College,141.7751723
48,4. College Grad,141.7751723
40,3. Some College,141.7751723
56,5. Advanced Degree,141.7751723
46,4. College Grad,141.7751723
49,4. College Grad,141.7751723
44,4. College Grad,141.7751723
46,2. HS Grad,141.7751723
50,2. HS Grad,141.0888744
45,5. Advanced Degree,140.3982002
40,5. Advanced Degree,140.3982002
43,3. Some College,140.3982002
36,5. Advanced Degree,140.3982002
36,4. College Grad,140.3982002
56,2. HS Grad,140.3982002
56,3. Some College,140.3982002
36,5. Advanced Degree,140.0511976
28,2. HS Grad,139.7030715
52,4. College Grad,139.7030715
33,2. HS Grad,139.7030715
46,3. Some College,139.7030715
31,3. Some College,139.7030715
46,3. Some College,139.6758702
56,4. College Grad,139.3538118
59,2. HS Grad,139.2137881
58,2. HS Grad,139.2137881
49,3. Some College,139.1563254
59,3. Some College,139.0034081
35,4. College Grad,139.0034081
38,4. College Grad,139.0034081
51,3. Some College,139.0034081
54,3. Some College,139.0034081
40,2. HS Grad,138.6391722
57,4. College Grad,138.610994
58,4. College Grad,138.2991269
30,5. Advanced Degree,138.2991269
49,5. Advanced Degree,138.2991269
36,5. Advanced Degree,138.2991269
33,4. College Grad,138.2991269
52,5. Advanced Degree,138.2991269
60,4. College Grad,138.2991269
42,4. College Grad,138.2991269
45,5. Advanced Degree,138.2991269
30,4. College Grad,138.2991269
51,4. College Grad,138.2991269
29,4. College Grad,138.2991269
60,5. Advanced Degree,138.2991269
32,5. Advanced Degree,138.2991269
42,3. Some College,138.2991269
48,4. College Grad,138.2991269
43,4. College Grad,138.2991269
66,2. HS Grad,138.2991269
56,4. College Grad,138.2991269
60,3. Some College,138.2991269
35,2. HS Grad,138.2991269
53,5. Advanced Degree,138.2991269
52,4. College Grad,137.5901428
29,4. College Grad,137.5901428
55,2. HS Grad,137.5901428
34,4. College Grad,137.5901428
35,5. Advanced Degree,137.5901428
35,3. Some College,137.4812478
38,5. Advanced Degree,136.8763676
53,4. College Grad,136.8763676
38,5. Advanced Degree,136.8763676
63,4. College Grad,136.8763676
33,3. Some College,136.8763676
40,3. Some College,136.8763676
40,4. College Grad,136.8763676
28,2. HS Grad,136.8763676
52,2. HS Grad,136.8763676
34,3. Some College,136.5176552
63,2. HS Grad,136.3039976
40,4. College Grad,136.1577108
33,4. College Grad,136.1577108
47,2. HS Grad,136.1577108
44,5. Advanced Degree,136.1577108
40,4. College Grad,136.1577108
61,4. College Grad,136.1577108
58,5. Advanced Degree,135.5980598
41,2. HS Grad,134.8515263
39,4. College Grad,134.7053751
54,2. HS Grad,134.7053751
46,5. Advanced Degree,134.7053751
47,2. HS Grad,134.7053751
47,3. Some College,134.7053751
49,5. Advanced Degree,134.7053751
43,2. HS Grad,134.7053751
43,3. Some College,134.7053751
38,4. College Grad,134.7053751
39,2. HS Grad,134.7053751
63,3. Some College,134.7053751
56,4. College Grad,134.7053751
45,2. HS Grad,134.7053751
56,2. HS Grad,134.7053751
34,2. HS Grad,134.7053751
34,5. Advanced Degree,134.7053751
46,4. College Grad,134.7053751
42,4. College Grad,134.7053751
47,4. College Grad,134.7053751
50,5. Advanced Degree,134.7053751
38,2. HS Grad,134.7053751
32,3. Some College,134.7053751
33,2. HS Grad,134.7053751
42,4. College Grad,134.7053751
44,3. Some College,134.7053751
50,4. College Grad,134.7053751
52,2. HS Grad,134.7053751
53,2. HS Grad,134.7053751
58,4. College Grad,134.7053751
36,4. College Grad,134.7053751
52,4. College Grad,134.7053751
36,4. College Grad,134.7053751
52,5. Advanced Degree,134.7053751
34,2. HS Grad,134.7053751
54,3. Some College,134.7053751
31,4. College Grad,134.7053751
43,5. Advanced Degree,134.7053751
55,4. College Grad,134.7053751
56,2. HS Grad,134.7053751
42,3. Some College,134.7053751
39,3. Some College,134.7053751
49,3. Some College,134.7053751
50,5. Advanced Degree,134.7053751
33,5. Advanced Degree,134.7053751
57,5. Advanced Degree,134.7053751
63,2. HS Grad,134.7053751
43,3. Some College,134.7053751
53,5. Advanced Degree,134.7053751
37,5. Advanced Degree,134.7053751
43,4. College Grad,134.2656772
42,4. College Grad,133.9715001
64,4. College Grad,133.9715001
52,5. Advanced Degree,133.9715001
31,4. College Grad,133.3806077
48,4. College Grad,133.2323508
40,3. Some College,133.2323508
45,4. College Grad,133.2323508
53,2. HS Grad,133.2323508
31,3. Some College,133.2323508
51,2. HS Grad,133.2323508
50,2. HS Grad,133.2323508
41,2. HS Grad,133.2323508
54,2. HS Grad,133.2323508
27,4. College Grad,133.2323508
46,3. Some College,133.2323508
32,4. College Grad,133.2323508
52,5. Advanced Degree,133.2323508
40,5. Advanced Degree,133.2323508
43,2. HS Grad,132.8607653
29,3. Some College,132.8607653
52,5. Advanced Degree,132.4878211
56,5. Advanced Degree,132.4878211
54,4. College Grad,132.4878211
41,4. College Grad,132.4878211
44,4. College Grad,132.4878211
50,2. HS Grad,132.4878211
36,4. College Grad,132.3524777
36,2. HS Grad,131.7378012
40,5. Advanced Degree,131.7378012
37,2. HS Grad,131.7378012
44,4. College Grad,131.7378012
30,3. Some College,131.7378012
38,2. HS Grad,131.7378012
35,3. Some College,131.6526987
35,3. Some College,131.621803
47,4. College Grad,131.2245938
49,4. College Grad,131.1943236
45,4. College Grad,130.9836943
45,3. Some College,130.9821774
53,4. College Grad,130.9821774
39,5. Advanced Degree,130.9821774
29,5. Advanced Degree,130.9821774
45,3. Some College,130.9821774
41,1. < HS Grad,130.9821774
45,2. HS Grad,130.9821774
61,3. Some College,130.9821774
45,2. HS Grad,130.9821774
56,4. College Grad,130.9821774
61,3. Some College,130.9821774
57,1. < HS Grad,130.9821774
25,3. Some College,130.9821774
48,5. Advanced Degree,130.9821774
47,2. HS Grad,130.9821774
62,5. Advanced Degree,130.9821774
47,3. Some College,130.9821774
46,3. Some College,130.9821774
39,3. Some College,130.9821774
51,4. College Grad,130.9821774
45,5. Advanced Degree,130.9821774
58,2. HS Grad,130.9821774
34,3. Some College,130.9821774
45,3. Some College,130.9821774
41,4. College Grad,130.9821774
61,5. Advanced Degree,130.9821774
39,5. Advanced Degree,130.9821774
49,4. College Grad,130.9821774
41,4. College Grad,130.9821774
62,4. College Grad,130.9821774
50,2. HS Grad,130.9821774
55,4. College Grad,130.9821774
40,2. HS Grad,130.9821774
62,4. College Grad,130.9821774
28,4. College Grad,130.9821774
35,4. College Grad,130.9821774
44,5. Advanced Degree,130.9821774
43,5. Advanced Degree,130.9821774
38,3. Some College,130.9821774
26,2. HS Grad,130.9821774
40,4. College Grad,130.9821774
30,3. Some College,130.9821774
42,5. Advanced Degree,130.9821774
40,4. College Grad,130.9821774
58,3. Some College,130.9821774
43,4. College Grad,130.6022275
55,3. Some College,130.2208324
55,3. Some College,130.2208324
51,5. Advanced Degree,129.9836348
60,2. HS Grad,129.4536446
47,2. HS Grad,129.4536446
43,2. HS Grad,129.4536446
67,1. < HS Grad,129.4536446
39,4. College Grad,129.4536446
44,5. Advanced Degree,129.4536446
56,2. HS Grad,129.4536446
38,2. HS Grad,129.4536446
55,5. Advanced Degree,129.4536446
56,4. College Grad,129.156693
45,4. College Grad,129.0678205
52,2. HS Grad,128.6804882
47,5. Advanced Degree,128.6804882
38,3. Some College,128.6804882
51,3. Some College,128.6804882
33,2. HS Grad,128.6804882
39,4. College Grad,128.6804882
39,2. HS Grad,128.6804882
39,4. College Grad,128.6804882
31,5. Advanced Degree,128.6804882
36,3. Some College,128.6804882
49,4. College Grad,128.6804882
62,3. Some College,128.6804882
48,4. College Grad,128.6804882
48,4. College Grad,128.6804882
36,2. HS Grad,128.6804882
61,3. Some College,128.6804882
48,4. College Grad,128.6804882
57,4. College Grad,128.6804882
60,5. Advanced Degree,128.6804882
53,2. HS Grad,128.6804882
29,4. College Grad,128.6804882
34,4. College Grad,128.6804882
33,3. Some College,128.6804882
51,2. HS Grad,128.6804882
42,4. College Grad,128.6804882
36,2. HS Grad,128.6804882
33,2. HS Grad,128.6804882
41,1. < HS Grad,128.6804882
39,3. Some College,128.6804882
53,3. Some College,128.2526611
47,2. HS Grad,128.1996369
70,5. Advanced Degree,127.901233
56,1. < HS Grad,127.901233
63,2. HS Grad,127.901233
36,3. Some College,127.901233
52,1. < HS Grad,127.901233
32,2. HS Grad,127.901233
41,4. College Grad,127.901233
38,2. HS Grad,127.273347
54,4. College Grad,127.1157438
48,4. College Grad,127.1157438
44,2. HS Grad,127.1157438
36,2. HS Grad,127.1157438
41,2. HS Grad,127.1157438
53,5. Advanced Degree,127.1157438
31,2. HS Grad,127.1157438
48,2. HS Grad,127.1157438
27,4. College Grad,127.1157438
35,2. HS Grad,127.1157438
37,4. College Grad,127.1157438
51,4. College Grad,127.1157438
56,3. Some College,127.1157438
41,2. HS Grad,127.1157438
42,4. College Grad,127.1157438
50,1. < HS Grad,127.1157438
41,3. Some College,127.1157438
37,4. College Grad,127.1157438
55,2. HS Grad,127.1157438
36,5. Advanced Degree,127.1157438
47,5. Advanced Degree,127.1157438
50,4. College Grad,127.1157438
41,4. College Grad,127.1157438
45,4. College Grad,127.1157438
49,2. HS Grad,127.1157438
31,5. Advanced Degree,127.1157438
30,5. Advanced Degree,127.1157438
47,2. HS Grad,127.1157438
47,4. College Grad,127.1157438
41,3. Some College,127.1157438
43,4. College Grad,127.1157438
56,4. College Grad,127.1157438
54,4. College Grad,127.1157438
43,3. Some College,127.1157438
43,4. College Grad,127.1157438
54,4. College Grad,127.1157438
30,4. College Grad,127.1157438
30,4. College Grad,127.1157438
37,4. College Grad,127.1157438
56,2. HS Grad,127.1157438
48,1. < HS Grad,127.1157438
33,4. College Grad,127.1157438
62,2. HS Grad,127.1157438
25,2. HS Grad,127.1157438
45,3. Some College,127.1157438
66,4. College Grad,127.1157438
31,4. College Grad,127.1157438
57,4. College Grad,127.1157438
52,3. Some College,127.1157438
60,3. Some College,127.1157438
55,5. Advanced Degree,127.1157438
50,4. College Grad,127.1157438
55,4. College Grad,127.1157438
62,4. College Grad,127.1157438
40,5. Advanced Degree,127.1157438
45,3. Some College,127.1157438
23,2. HS Grad,127.1157438
36,4. College Grad,127.1157438
24,1. < HS Grad,127.1157438
55,4. College Grad,127.1157438
46,3. Some College,127.0368467
53,4. College Grad,126.9578857
50,5. Advanced Degree,126.3238807
55,3. Some College,126.3238807
46,3. Some College,126.3238807
47,4. College Grad,126.3238807
28,4. College Grad,126.3238807
43,1. < HS Grad,126.3238807
51,5. Advanced Degree,126.0850573
48,5. Advanced Degree,125.5254984
41,4. College Grad,125.5254984
42,4. College Grad,125.5254984
63,3. Some College,125.5254984
32,2. HS Grad,125.5254984
30,5. Advanced Degree,125.5254984
57,4. College Grad,125.5254984
33,5. Advanced Degree,125.5254984
36,3. Some College,125.5254984
65,2. HS Grad,125.5254984
29,4. College Grad,125.5254984
35,3. Some College,125.2042866
56,4. College Grad,125.1238157
44,4. College Grad,125.1238157
45,5. Advanced Degree,124.7204462
54,5. Advanced Degree,124.7204462
51,2. HS Grad,124.7204462
41,1. < HS Grad,124.7204462
35,2. HS Grad,124.7204462
51,2. HS Grad,124.7204462
56,4. College Grad,124.7204462
43,2. HS Grad,123.9085676
42,3. Some College,123.9085676
44,4. College Grad,123.9085676
42,5. Advanced Degree,123.9085676
48,3. Some College,123.9085676
49,3. Some College,123.9085676
48,3. Some College,123.8237338
42,5. Advanced Degree,123.5000178
49,3. Some College,123.336104
60,4. College Grad,123.0896998
35,3. Some College,123.0896998
48,4. College Grad,123.0896998
39,5. Advanced Degree,123.0896998
53,3. Some College,123.0896998
51,4. College Grad,123.0896998
37,3. Some College,123.0896998
30,1. < HS Grad,123.0896998
33,4. College Grad,123.0896998
60,3. Some College,123.0896998
26,2. HS Grad,123.0896998
36,3. Some College,123.0896998
32,2. HS Grad,123.0896998
42,2. HS Grad,123.0896998
41,5. Advanced Degree,123.0896998
58,3. Some College,123.0896998
40,4. College Grad,123.0896998
32,4. College Grad,123.0896998
39,4. College Grad,123.0896998
50,2. HS Grad,123.0896998
42,4. College Grad,123.0896998
35,3. Some College,123.0896998
49,2. HS Grad,123.0896998
34,4. College Grad,123.0896998
48,4. College Grad,123.0896998
31,3. Some College,123.0896998
44,5. Advanced Degree,123.0896998
43,4. College Grad,123.0896998
45,4. College Grad,123.0896998
54,5. Advanced Degree,123.0896998
57,4. College Grad,123.0896998
63,4. College Grad,123.0896998
48,2. HS Grad,123.0896998
48,4. College Grad,123.0896998
40,3. Some College,123.0896998
58,3. Some College,123.0896998
50,4. College Grad,123.0896998
39,3. Some College,123.0896998
67,3. Some College,123.0896998
55,3. Some College,123.0896998
37,4. College Grad,123.0896998
61,2. HS Grad,122.2636739
33,2. HS Grad,122.2636739
52,1. < HS Grad,122.2636739
27,5. Advanced Degree,122.2636739
37,4. College Grad,121.4303138
47,3. Some College,121.4303138
41,3. Some College,121.4303138
41,2. HS Grad,121.4303138
30,3. Some College,121.4303138
38,3. Some College,121.2627457
50,5. Advanced Degree,121.0108266
56,4. College Grad,120.9267015
40,3. Some College,120.9267015
60,2. HS Grad,120.9267015
44,5. Advanced Degree,120.5894365
40,3. Some College,120.5894365
33,5. Advanced Degree,120.5894365
42,1. < HS Grad,120.5894365
45,4. College Grad,120.5894365
46,4. College Grad,120.5894365
53,3. Some College,120.5894365
43,2. HS Grad,120.5894365
58,5. Advanced Degree,120.5894365
47,5. Advanced Degree,120.5894365
42,2. HS Grad,120.5894365
50,5. Advanced Degree,120.5894365
27,3. Some College,120.5894365
50,5. Advanced Degree,120.1661196
52,2. HS Grad,119.7425563
31,3. Some College,119.7408513
43,5. Advanced Degree,119.7408513
43,2. HS Grad,119.4052043
45,3. Some College,119.0992348
41,2. HS Grad,119.0133452
39,2. HS Grad,118.8860804
41,3. Some College,118.8843593
62,4. College Grad,118.8843593
32,5. Advanced Degree,118.8843593
44,2. HS Grad,118.8843593
49,3. Some College,118.8843593
53,3. Some College,118.8843593
