Country Group PPGDP LifeExp
Myanmar other 6.7755943753798 70.57
Namibia africa 8.54182726570791 62.61
Nepal other 6.28170584195469 67.93
NethAntilles other 9.9194150340855 81.19
Netherlands oecd 10.7559797560772 83.4
NewCaledonia other 10.4721904983323 80.41
NewZealand oecd 10.3850522197002 82.2
Nicaragua other 7.03165291563837 71.35
Niger africa 5.87969464626497 55.04
Nigeria africa 7.12270535526782 59.28
NorthKorea other 6.22257626807137 68.34
Norway oecd 11.3455559669331 84.64
Oman other 9.94227547974339 79.35
Pakistan other 6.91095016987866 70.87
Palau other 9.28931789715961 78.75
PalestinianTerritory other 7.50631701705221 70.81
Panama other 8.93774393694244 77.05
PapuaNewGuinea other 7.26431021572029 71.15
Paraguay other 7.92699963226667 73.38
Peru other 8.59613375348884 77.03
Philippines other 7.6686078358961 72.39
Poland oecd 9.4143581868519 80.18
Portugal oecd 9.97290166862045 81.51
PuertoRico other 10.1834272298497 79.6
Qatar other 11.1899325724283 84.81
RepublicOfKorea other 9.95476034671355 78.6
Romania other 8.92564051496287 74.72
Russia other 9.24487705524642 76.54
Rwanda africa 6.27720724017871 57.66
SaintLucia other 8.8064390405317 77.16
Samoa other 8.11471362214844 73.98
SaoTome africa 7.15719016425041 58.64
SaudiArabia other 9.67003479348014 78.73
Senegal africa 6.93993201067736 57.44
Serbia other 8.5415345228024 75.4
SierraLeone africa 5.86277853947994 55.16
Singapore other 10.6870031771584 82.16
Slovakia oecd 9.67884287509565 82.53
Slovenia oecd 10.0480120489688 81.56
SolomonIslands other 7.08464544577888 71.39
Somalia africa 4.74319148388547 51.86
Spain other 10.3268842576086 81.98
SriLanka other 7.77287902428105 73.5
StVincentGrenadines other 8.72772960569121 76.64
Sudan africa 7.50928046999477 60.65
Suriname other 8.85623355614316 77.46
Sweden oecd 10.7976594567919 83.04
Switzerland oecd 11.1401240426979 84.48
Syria other 7.98326951640427 72.95
Tajikistan other 6.70441435496411 70.38
Tanzania africa 6.24610676548156 57.92
Macedonia other 8.39717014881651 74.55
Thailand other 8.43659032688414 74.62
Togo africa 6.26263606743277 55.44
Tonga other 8.17275732913552 75.29
TrinidadandTobago other 9.62938617687379 80.22
Turkey oecd 9.21980543659188 81.41
Turkmenistan other 8.43109049236283 75.68
Tuvalu other 8.06689806739028 72.83
Uganda africa 6.23244801655052 54.83
Ukraine other 8.0179667034936 72.84
UnitedArabEmirates other 10.587207940173 81.42
UnitedKingdom oecd 10.5003110398605 82.36
UnitedStates oecd 10.74819420149 82.19
Uruguay other 9.38868737401473 78
Uzbekistan other 7.26353982663572 71.24
Vanuatu other 7.99412628122789 73.66
Venezuela other 9.51064494442919 78.98
Vietnam other 7.07555523925707 68.5
Yemen other 7.27045205523936 71.75
Zimbabwe africa 6.35106022155769 57.27
